MYUWI,TOP,BOTTOM,POROSITY,PERMEABILITY,BITUMINS_EXTRACT,DEPTH
MY48,2704.2,2704.3,1.97,0,0.041,2704.25
MY48,2704.7,2704.8,1.26,0,0.051,2704.75
MY48,2705.2,2705.3,3.16,0.2,0.091,2705.25
MY48,2705.7,2705.8,2.18,0.13,0.083,2705.75
MY48,2706.2,2706.3,2.1,0,0.426,2706.25
MY48,2706.7,2706.8,3.02,0,0.119,2706.75
MY48,2707.2,2707.3,1.82,0,0.081,2707.25
MY48,2707.7,2707.8,2.19,0,0.082,2707.75
MY48,2708.2,2708.3,0.08,0,0.171,2708.25
MY48,2708.7,2708.8,1.62,0.01,0.025,2708.75
MY48,2709.2,2709.3,1.06,0.01,0.064,2709.25
MY48,2709.7,2709.8,1.48,0,0.091,2709.75
MY48,2710.2,2710.3,0.08,0,0.091,2710.25
MY48,2710.7,2710.8,1.2,0,0.026,2710.75
MY48,2711.2,2711.3,1.05,0,0.097,2711.25
MY48,2711.7,2711.8,0.21,0.06,0.098,2711.75
MY48,2712.2,2712.3,0.92,0,0.1,2712.25
MY48,2712.7,2712.8,1.06,0,0.106,2712.75
MY48,2713.2,2713.3,0.77,0,0.02,2713.25
MY48,2713.7,2713.8,0.7,0,0.075,2713.75
MY48,2714.2,2714.3,0.84,0,0.115,2714.25
MY48,2714.7,2714.8,1.05,0,0.089,2714.75
MY48,2715.2,2715.3,0.91,0,0.048,2715.25
MY48,2715.7,2715.8,0.84,0,0.035,2715.75
MY48,2716.2,2716.3,0.63,0,0.019,2716.25
MY48,2716.7,2716.8,0.77,0,0.016,2716.75
MY48,2717.2,2717.3,0.85,0,0.038,2717.25
MY48,2717.7,2717.8,0.7,0,0.02,2717.75
MY48,2718.2,2718.3,0.9,0,0.016,2718.25
MY48,2718.7,2718.8,0.91,0,0.011,2718.75
MY48,2719.2,2719.3,0.7,0,0.06,2719.25
MY48,2719.7,2719.8,0.71,0,0.007,2719.75
MY48,2720.2,2720.3,0.83,0,0.005,2720.25
MY48,2887,2887.1,0.7,0,0.004,2887.05
MY48,2887.5,2887.6,0.78,0,0.002,2887.55
MY48,2888,2888.1,1.13,0,0.002,2888.05
MY48,2888.5,2888.6,1.48,0.01,0.006,2888.55
MY48,2889,2889.1,0.92,0,0.003,2889.05
MY48,2889.5,2889.6,0.78,0.02,0.002,2889.55
MY48,2890,2890.1,0.57,0.01,0.006,2890.05
MY48,2890.5,2890.6,0.66,0,0.005,2890.55
MY48,2891,2891.1,0.65,0,0.001,2891.05
MY48,2891.5,2891.6,0.56,0,0.005,2891.55
MY48,2892,2892.1,0.72,0,0.002,2892.05
MY48,2892.5,2892.6,0.94,0,0.004,2892.55
MY48,2893,2893.1,0.57,0,0.002,2893.05
MY48,2893.5,2893.6,0.5,0,0.002,2893.55
MY48,2894,2894.1,1.08,0,0.005,2894.05
MY48,2894.5,2894.6,0.57,0,0.003,2894.55
MY48,2895,2895.1,0.64,0,0.001,2895.05
MY48,2895.5,2895.6,0.71,0,0.002,2895.55
MY48,2897,2897.1,6.24,0.05,0.007,2897.05
MY48,2897.5,2897.6,5.74,0.01,0.004,2897.55
MY48,2898,2898.1,7.31,0.03,0.003,2898.05
MY48,2898.5,2898.6,4.76,0.01,0.008,2898.55
MY48,2899,2899.1,5.55,0.01,0.002,2899.05
MY48,2899.5,2899.6,5.09,0.07,0.006,2899.55
MY48,2900,2900.1,6.91,0.04,0.005,2900.05
MY48,2900.2,2900.3,4.83,0.03,0.003,2900.25
MY48,2900.3,2900.4,5.9,0.01,0.009,2900.35
MY48,2900.8,2900.9,6.53,0.04,0.007,2900.85
MY48,2901.3,2901.4,7.25,0.03,0.016,2901.35
MY48,2901.8,2901.9,7.86,0.07,0,2901.85
MY48,2902.3,2902.4,11.16,0.46,0.009,2902.35
MY48,2902.8,2902.9,5.81,0.06,0.003,2902.85
MY48,2903.3,2903.4,5.88,0.01,0.007,2903.35
MY48,2903.8,2903.9,7.18,0.03,0.005,2903.85
MY48,2904.3,2904.4,8.14,0.06,0.005,2904.35
MY48,2904.8,2904.9,7.44,0.02,0.005,2904.85
MY48,2905.3,2905.4,7.58,0.03,0.004,2905.35
MY48,2905.8,2905.9,7.26,0.05,0.003,2905.85
MY48,2907.3,2907.4,5.45,0,0,2907.35
MY48,2907.8,2907.9,5.81,0.04,0.003,2907.85
MY48,2908,2908.1,6.52,0.13,0,2908.05
MY48,2908.8,2908.9,6.81,0.03,0,2908.85
MY48,2909.3,2909.4,7.14,0.04,0,2909.35
MY48,2909.8,2909.9,6.74,0.04,0,2909.85
MY48,2910.3,2910.4,8.2,0.16,0.003,2910.35
MY48,2910.8,2910.9,7.91,0.06,0.004,2910.85
MY48,2911.3,2911.4,7.11,0.06,0.007,2911.35
MY48,2912.3,2912.4,10.47,4.46,0,2912.35
MY48,2913.3,2913.4,6.74,0.01,0.003,2913.35
MY48,2913.8,2913.9,6.45,0.01,0.002,2913.85
MY48,2914.3,2914.4,8.43,0.03,0.002,2914.35
MY48,2914.8,2914.9,5.87,0.01,0.008,2914.85
MY48,2915.3,2915.4,7.57,0.81,0.008,2915.35
MY48,2915.8,2915.9,3.8,0.02,0.005,2915.85
MY48,2916.3,2916.4,6.56,0.01,0.009,2916.35
MY48,2916.8,2916.9,6.98,0,0.006,2916.85
MY48,2917.3,2917.4,2.61,0.02,0.009,2917.35
MY48,2917.8,2917.9,5.86,0,0.008,2917.85
MY48,2918.1,2918.2,6.06,0.02,0.009,2918.15
MY48,2918.2,2918.3,6.6,0.01,0.01,2918.25
MY48,2918.3,2918.4,6.8,0.01,0.007,2918.35
MY48,2918.8,2918.9,2.94,0.05,0.005,2918.85
MY48,2919.3,2919.4,4.52,0,0.005,2919.35
MY48,2919.8,2919.9,4.04,-999.25,0.005,2919.85
MY48,2920.3,2920.4,4.86,-999.25,0.005,2920.35
MY48,2920.8,2920.9,5.08,0.01,0.005,2920.85
MY48,2921.3,2921.4,5.49,0,0.005,2921.35
MY48,2921.8,2921.9,5.33,0,0.006,2921.85
MY48,2922.3,2922.4,6.38,0.03,0.004,2922.35
MY48,2922.8,2922.9,3.86,0,0.007,2922.85
MY48,2923.3,2923.4,3.47,0.02,0.006,2923.35
MY48,2923.8,2923.9,4.25,0.02,0.005,2923.85
