TOP,BOTTOM,STRATIGRAPHY_SYM,LITHOLOGY,MYUWI
0,15,Q,"piaski,żwiry,gliny",MY78
15,157.5,Jo,"margle,wapienie",MY78
157.5,239,Jkl3,"mułowce wapniste,piaskowce",MY78
239,287.5,Jkl1,"mułowce wapniste,iłowce,margle",MY78
287.5,385,Jbt,"mułowce,iłowce,piaskowce",MY78
385,477,Jbj3,"mułowce,iłowce,piaskowce",MY78
477,581,J2L,"mułowce,iłowce,piaskowce",MY78
581,632,Jto3,"piaskowce,mułowce,iłowce,węgle",MY78
632,716,Jto1,"piaskowce,mułowce,iłowce,węgle",MY78
716,982,Jpl3,"piaskowce,mułowce,iłowce",MY78
982,1063.5,Jpl1,"piaskowce,mułowce,iłowce",MY78
1063.5,1215,Js3,"piaskowce,mułowce,iłowce",MY78
1215,1410,Js1,"piaskowce,mułowce,iłowce",MY78
1410,1929,Jh,"piaskowce,mułowce,iłowce",MY78
1929,2301,T1,"iłowce,mułowce,piaskowce dolomityczne",MY78
2301,3041,Z4+Z3,,MY78
3047,3059,A2,,MY78
3059,3063,Ca2,,MY78
3041,3047,Na2,,MY78
0,14,Q,"gliny,piaski,żwiry",MY84
14,32.5,J3,"łupki,piaskowce",MY84
32.5,152.5,Jkl,"piaskowce,łupki,mułowce",MY84
152.5,293,Jbt,mułowce,MY84
293,358,Jbj3,"łupki,piaskowce,mułowce",MY84
358,553,Jbj1,"piaskowce,łupki,mułowce",MY84
553,585,Ja,"piaskowce,łupki",MY84
585,682,Jto3,"piaskowce,łupki",MY84
682,715.5,Jto1,"łupki,piaskowce,mułowce",MY84
715.5,1023.5,Jpl3,"piaskowce,łupki",MY84
1023.5,1076,Jpl1,iłowce,MY84
1076,1292.5,Js3,"piaskowce,łupki,mułowce",MY84
1292.5,1660,Js1,"łupki,piaskowce,mułowce",MY84
1660,1930,Jh,"piaskowce,łupki,mułowce",MY84
1930,2044.5,TRe,"łupki,piaskowce,mułowce",MY84
2044.5,3057,Na2,(nieokreślone),MY84
3057,3065.5,A2,(nieokreślone),MY84
3065.5,3119.6,Ca2,"wapienie,dolomity",MY84
3119.6,3215,A1G,(nieokreślone),MY84
3215,3250,Na1,(nieokreślone),MY84
3250,3292.5,A1D,(nieokreślone),MY84
3292.5,3300,Ca1,(nieokreślone),MY84
3300,3300.5,I1,(nieokreślone),MY84
3300.5,3364,Ps,mułowce,MY84
0,10,Q,"gliny,piaski,żwiry",MY83
10,34,J3,mułowce,MY83
34,98,Jkl3,"piaskowce,iłowce",MY83
98,157,Jkl1,"mułowce,piaskowce",MY83
157,185,Jbt3,mułowce,MY83
185,259,Jbt2,mułowce,MY83
259,271.5,Jbt1,mułowce,MY83
271.5,395,Jbj3,"łupki,mułowce",MY83
395,577.5,Jbj1,"piaskowce,łupki",MY83
577.5,620,Ja,piaskowce,MY83
620,705,Jto3,"piaskowce,łupki",MY83
705,749,Jto1,"łupki,piaskowce,mułowce",MY83
749,1033.5,Jpl3,"piaskowce,łupki,mułowce",MY83
1033.5,1125,Jpl1,"łupki,mułowce",MY83
1125,1280.5,Js3,"piaskowce,iłowce",MY83
1280.5,1306,Js1,"iłowce,mułowce",MY83
1306,1397,Tp3,"piaskowce,łupki,mułowce",MY83
1397,1829,Tp2,"piaskowce,łupki,mułowce",MY83
1829,2205.5,Tp1,"łupki,mułowce",MY83
2205.5,2206,A4G,(nieokreślone),MY83
2206,2285,Na4,(nieokreślone),MY83
2285,2287,A4D,(nieokreślone),MY83
2287,2307.5,I4,(nieokreślone),MY83
2307.5,3025.5,Na2,(nieokreślone),MY83
3025.5,3037,A2,(nieokreślone),MY83
3037,3039,Ca2,wapienie,MY83
0,16,Q,"gliny,piaski",MY82
16,26,J3,mułowce,MY82
26,148.5,Jkl,"iłowce,mułowce,piaskowce",MY82
148.5,296.5,Jbt,mułowce,MY82
296.5,393,Jbj3,"iłowce,mułowce",MY82
393,567,Jbj1,"iłowce,mułowce,piaskowce",MY82
567,602,Ja,piaskowce,MY82
602,637,Jto3,"piaskowce,iłowce",MY82
637,720,Jto1,"iłowce,mułowce,piaskowce",MY82
720,1042,Jpl3,"iłowce,mułowce,piaskowce",MY82
1042,1093,Jpl1,"iłowce,mułowce,piaskowce",MY82
1093,1304.5,Js3,"iłowce,mułowce,piaskowce",MY82
1304.5,1535,Js1,"iłowce,mułowce,piaskowce",MY82
1535,2093,TRe,"iłowce,mułowce,piaskowce",MY82
2093,2127.5,Tk,"iłowce,mułowce",MY82
2127.5,2295,T2,"iłowce,wapienie",MY82
2295,2390,Tp3,"iłowce,mułowce,piaskowce",MY82
2390,2492.5,Na3,(nieokreślone),MY82
2492.5,2649.5,A3,(nieokreślone),MY82
2649.5,2659,Ca3,(nieokreślone),MY82
2659,2663,A2G,(nieokreślone),MY82
2663,3209.5,Na2,(nieokreślone),MY82
3209.5,3221,A2,(nieokreślone),MY82
3221,3224.1,Ca2,wapienie,MY82
0,16,Q,"piaski,żwiry",MY81
16,26,J3,mułowce,MY81
26,152.5,Jkl,"mułowce,piaskowce",MY81
152.5,295,Jbt,"iłowce,mułowce,piaskowce",MY81
295,393,Jbj3,"mułowce,piaskowce",MY81
393,567,Jbj1,"iłowce,mułowce,piaskowce",MY81
567,602,Ja,"iłowce,mułowce",MY81
602,698,Jto3,"piaskowce,iłowce",MY81
698,747,Jto1,"iłowce,mułowce",MY81
747,1042,Jpl3,"iłowce,mułowce,piaskowce",MY81
1042,1095,Jpl1,"iłowce,mułowce",MY81
1095,1280,Js3,"piaskowce,iłowce",MY81
1280,1534,Js1,"piaskowce,iłowce",MY81
1534,1725,Jh,"piaskowce,iłowce",MY81
1725,2150,Tp1,"iłowce,mułowce",MY81
2150,2159,A4G,(nieokreślone),MY81
2159,2236.5,Na4,(nieokreślone),MY81
2236.5,2238,A4D,(nieokreślone),MY81
2238,2249.5,I4,(nieokreślone),MY81
2249.5,3068,Na2,(nieokreślone),MY81
3068,3079.2,A2,(nieokreślone),MY81
3079.2,3128,Ca2,"wapienie,dolomity",MY81
0,20,Q,"gliny,piaski,żwiry",MY80
